idx,original_idx,sentenceId,text,start_ms_trimmed,end_ms_trimmed,duration_ms,exp_end_ms,obs_end_ms,drift_ms,drift_jump_ms,silence_width_ms,rms_db_at_end,contrast_db,confidence,weight
67,74,P0003_L0009_S0024,एकद॒न्ताय॑ वि॒द्महे॑ वक्रतु॒ण्डाय॑ धीमहि।,239760.0,242800.0,3040.0,240807.698,242800.0,1992.302,-2538.428,576.0,-26.7627,-13.0333,0.44187,172.24971
68,75,P0003_L0009_S0025,तन्नो॑ दन्तिः प्रचो॒दया᳚त्॥,242800.0,246000.0,3200.0,245579.196,246000.0,420.804,-1571.497,528.0,-29.4286,0.1257,0.510516,147.33345
69,77,P0003_L0010_S0027,एकद॒न्तं च॑तुर्ह॒स्तं॒ पा॒शम॑ङ्कुश॒धारि॑णम्।,246000.0,248096.0,2096.0,251914.996,248096.0,-3818.996,-4239.8,512.0,-28.7495,4.2263,0.521215,195.6357
70,78,P0003_L0010_S0028,रदं॑ च॒ वर॑दं ह॒स्तै॒र्बि॒भ्राणं॑ मूष॒कध्व॑जम्।,248096.0,251696.0,3600.0,257921.413,251696.0,-6225.413,-2406.418,576.0,-29.7342,3.0384,0.551582,185.4651
71,79,P0003_L0011_S0029,रक्तं ॑ ल॒म्बोद॑रं शू॒र्प॒क॒र्णकं ॑ रक्त॒वास॑सम्।,251696.0,255600.0,3904.0,263674.708,255600.0,-8074.708,-1849.294,592.0,-25.5958,-13.688,0.43795,177.6492
72,80,P0003_L0011_S0030,रक्त॑ग॒न्धानु॑लिप्ता॒ङ्गं ॒ र॒क्तपु॑ष्पैः सु॒पूजि॑तम्।,255600.0,259200.016,3600.016,270153.657,259200.016,-10953.641,-2878.933,544.0,-28.8565,3.8309,0.53493,200.05584
73,81,P0003_L0012_S0031,भक्ता॑नु॒कम्पि॑नं दे॒वं॒ ज॒गत्का॑रण॒मच्यु॑तम्।,259200.016,264800.0,5599.984,276760.158,264800.0,-11960.158,-1006.517,576.0,-32.6383,-1.1839,0.547738,203.99436
74,82,P0003_L0012_S0032,आवि॑र्भू॒तं च॑ सृ॒ष्ट्या॒दौ॒ प्र॒कृतेः᳚ पुरु॒षात्प॑रम्।,264800.0,269600.0,4800.0,283231.822,269600.0,-13631.822,-1671.664,608.0,-28.3045,-10.7232,0.480276,199.8309
75,83,P0003_L0013_S0033,एवं॑ ध्या॒यति॑ यो नि॒त्यं॒ स॒ योगी॑ योगि॒नां व॑रः॥,269600.0,274976.0,5376.0,290993.1,274976.0,-16017.1,-2385.278,592.0,-30.0898,3.3379,0.563144,239.651353
76,85,P0003_L0014_S0035,नमो व्रातपतये।,274976.0,278000.0,3024.0,293000.638,278000.0,-15000.638,1016.462,0.0,-17.34,-6.0066,0.193058,61.9884
77,86,P0003_L0014_S0036,नमो गणपतये।,278000.0,280832.0,2832.0,294968.419,280832.0,-14136.419,864.219,592.0,-30.8401,5.0205,0.577377,60.7608
78,87,P0003_L0014_S0037,नमः प्रमथपतये।,280832.0,283600.0,2768.0,297173.924,283600.0,-13573.924,562.495,0.0,-17.288,1.5334,0.22048,68.1012
79,88,P0003_L0015_S0038,नमस्तेऽस्तु लम्बोदरायैकदन्ताय विघ्नविनाशिने शिवसुताय श्रीवरदमूर्तये॒ नमः॑॥,283600.0,286800.0,3200.0,311145.69,286800.0,-24345.69,-10771.766,576.0,-28.3724,1.0485,0.531327,431.4177
80,90,P0003_L0016_S0040,एतदथर्वशीर्षं॑ योऽधी॒ते।,286800.0,288800.0,2000.0,314712.044,288800.0,-25912.044,-1566.354,0.0,-19.3416,3.2109,0.236954,110.12124
81,91,P0003_L0016_S0041,स ब्रह्मभूया॑य क॒ल्पते।,288800.0,293088.0,4288.0,317781.56,293088.0,-24693.56,1218.484,608.0,-28.1787,2.2505,0.551836,94.77996
82,92,P0003_L0016_S0042,स सर्वविघ्नै᳚र्न बा॒ध्यते।,293088.0,298800.0,5712.0,320829.658,298800.0,-22029.658,2663.902,592.0,-27.9419,-5.8505,0.49745,94.11864
83,93,P0003_L0017_S0043,स सर्वतः सुख॑मेध॒ते।,298800.0,305696.0,6896.0,323619.931,305696.0,-17923.931,4105.727,640.0,-29.7374,4.911,0.59171,86.15754
84,94,P0003_L0017_S0044,स पञ्चमहापापा᳚त्प्रमु॒च्यते।,305696.0,312032.0,6336.0,327598.784,312032.0,-15566.784,2357.147,544.0,-28.4639,4.8511,0.537954,122.85831
85,95,P0003_L0018_S0045,सा॒यम॑धीया॒नो॒ दिवसकृतं पापं॑ नाश॒यति।,312032.0,318400.0,6368.0,333490.751,318400.0,-15090.751,476.032,0.0,-17.4958,-0.7365,0.212816,181.93113
86,96,P0003_L0018_S0046,प्रा॒तर॑धीया॒नो॒ रात्रिकृतं पापं॑ नाश॒यति।,318400.0,329200.0,10800.0,339000.479,329200.0,-9800.479,5290.272,608.0,-27.3966,3.6478,0.55431,170.128395
87,97,P0003_L0019_S0047,सायं प्रातः प्र॑युञ्जा॒नो॒ पापोऽपा॑पो भ॒वति।,329200.0,336400.0,7200.0,344567.326,336400.0,-8167.326,1633.152,544.0,-30.1986,1.9341,0.533448,171.892128
88,98,P0003_L0019_S0048,सर्वत्राधीयानोऽपवि॑घ्नो भ॒वति।,336400.0,340848.0,4448.0,349180.82,340848.0,-8332.82,-165.494,528.0,-28.1141,5.1137,0.529462,142.45464
89,99,P0003_L0020_S0049,धर्मार्थकाममोक्षं॑ च वि॒न्दति।,340848.0,344128.0,3280.0,353181.882,344128.0,-9053.882,-721.062,480.0,-27.0441,5.4273,0.501106,123.54408
90,100,P0003_L0020_S0050,इदमथर्वशीर्षमशिष्याय॑ न दे॒यम्।,344128.0,349200.0,5072.0,358270.696,349200.0,-9070.696,-16.814,576.0,-26.0509,-11.0556,0.448022,157.13148
91,101,P0003_L0021_S0051,यो यदि मो॑हाद् दा॒स्यति स पापी॑यान्भ॒वति।,349200.0,354800.0,5600.0,364346.782,354800.0,-9546.782,-476.086,640.0,-29.2547,-5.2769,0.53241,187.61631
92,102,P0003_L0022_S0052,सहस्रावर्तनाद्यं यं काम॑मधी॒ते तं तमने॑न सा॒धयेत्॥,354800.0,360400.0,5600.0,373649.495,360400.0,-13249.495,-3702.713,608.0,-29.9378,4.2603,0.574673,287.247525
93,104,P0003_L0023_S0054,अनेन गणपतिम॑भिषि॒ञ्चति स वा॑ग्मी भ॒वति।,360400.0,366400.0,6000.0,379786.939,366400.0,-13386.939,-137.443,576.0,-29.7407,-2.3801,0.52147,189.510888
94,105,P0003_L0024_S0055,चतुर्थ्यामन॑श्नन्ज॒पति स विद्या॑वान्भ॒वति।,366400.0,371200.0,4800.0,386123.813,371200.0,-14923.813,-1536.874,560.0,-25.8523,-6.3825,0.465073,195.66888
