idx,sentenceId,text,start_ms_trimmed,end_ms_trimmed,duration_ms,exp_end_ms,obs_end_ms,drift_ms,drift_jump_ms,silence_width_ms,rms_db_at_end,contrast_db,confidence,weight
81,P0003_L0012_S0031,भक्ता॑नु॒कम्पि॑नं दे॒वं॒ ज॒गत्का॑रण॒मच्यु॑तम्।,255600.0,269600.0,14000.0,260324.142,269600.0,9275.858,7785.841,608.0,-28.3045,-10.7232,0.548135,203.99436
82,P0003_L0012_S0032,आवि॑र्भू॒तं च॑ सृ॒ष्ट्या॒दौ॒ प्र॒कृतेः᳚ पुरु॒षात्प॑रम्।,269600.0,280800.0,11200.0,266411.472,280800.0,14388.528,5112.67,592.0,-30.0001,7.8397,0.65637,199.8309
83,P0003_L0013_S0033,एवं॑ ध्या॒यति॑ यो नि॒त्यं॒ स॒ योगी॑ योगि॒नां व॑रः॥,280800.0,293088.0,12288.0,273711.829,293088.0,19376.171,4987.643,608.0,-28.1787,2.2505,0.622035,239.651353
84,P0003_L0013_S0034,९॥,293088.0,294000.0,912.0,273711.829,294000.0,20288.171,912.0,0.0,-8.5394,-2.2749,0.265991,1e-06
85,P0003_L0014_S0035,नमो व्रातपतये।,294000.0,305696.0,11696.0,275600.145,305696.0,30095.855,9807.684,640.0,-29.7374,4.911,0.656402,61.9884
86,P0003_L0014_S0036,नमो गणपतये।,305696.0,312032.0,6336.0,277451.065,312032.0,34580.935,4485.08,544.0,-28.4639,4.8511,0.614333,60.7608
87,P0003_L0014_S0037,नमः प्रमथपतये।,312032.0,323200.0,11168.0,279525.592,323200.0,43674.408,9093.474,0.0,-11.5245,2.4341,0.302537,68.1012
88,P0003_L0015_S0038,नमस्तेऽस्तु लम्बोदरायैकदन्ताय विघ्नविनाशिने शिवसुताय श्रीवरदमूर्तये॒ नमः॑॥,323200.0,343200.0,20000.0,292667.613,343200.0,50532.387,6857.979,0.0,-11.2916,-3.0951,0.274525,431.4177
89,P0003_L0015_S0039,१०॥,343200.0,344128.0,928.0,292667.613,344128.0,51460.387,928.0,480.0,-27.0441,5.4273,0.585651,1e-06
90,P0003_L0016_S0040,एतदथर्वशीर्षं॑ योऽधी॒ते।,344128.0,347200.0,3072.0,296022.171,347200.0,51177.829,-282.558,0.0,-14.9162,1.5404,0.314505,110.12124
91,P0003_L0016_S0041,स ब्रह्मभूया॑य क॒ल्पते।,347200.0,349200.0,2000.0,298909.397,349200.0,50290.603,-887.226,576.0,-26.0509,-11.0556,0.52085,94.77996
92,P0003_L0016_S0042,स सर्वविघ्नै᳚र्न बा॒ध्यते।,349200.0,351600.0,2400.0,301776.477,351600.0,49823.523,-467.08,0.0,-10.9391,0.8045,0.291674,94.11864
93,P0003_L0017_S0043,स सर्वतः सुख॑मेध॒ते।,351600.0,354800.0,3200.0,304401.043,354800.0,50398.957,575.434,640.0,-29.2547,-5.2769,0.597364,86.15754
94,P0003_L0017_S0044,स पञ्चमहापापा᳚त्प्रमु॒च्यते।,354800.0,357200.0,2400.0,308143.603,357200.0,49056.397,-1342.56,0.0,-14.1588,5.6503,0.332065,122.85831
