idx,mapping_original_idx,sentenceId,start_ms_trimmed,end_ms_trimmed,duration_ms,weight,confidence,text
29,31,P0002_L0015_S0032,87728.0,90608.0,2880.0,79.52387999999999,0.523324,अवाध॒रात्ता᳚त्।
30,32,P0002_L0016_S0033,90608.0,94064.0,3456.0,180.58584000000002,0.497614,सर्वतो मां पाहि पाहि॑ सम॒न्तात्॥
31,34,P0002_L0017_S0035,94064.0,97600.0,3536.0,108.68352,0.512568,त्वं वाङ्मय॑स्त्वं चिन्म॒यः।
32,35,P0002_L0017_S0036,97600.0,100592.0,2992.0,132.62351999999998,0.54784,त्वमानन्दमय॑स्त्वं ब्रह्म॒मयः।
33,36,P0002_L0017_S0037,100592.0,104304.0,3712.0,134.52894,0.508278,त्वं सच्चिदानन्दाऽद्वि॑तीयो॒ऽसि।
34,37,P0002_L0018_S0038,104304.0,108000.0,3696.0,81.49944,0.425818,त्वं प्र॒त्यक्षं॒ ब्रह्मा॑सि।
35,38,P0002_L0018_S0039,108000.0,111616.0,3616.0,158.1804,0.527368,त्वं ज्ञानमयो विज्ञान॑मयो॒ऽसि॥
36,40,P0002_L0019_S0041,111616.0,115200.0,3584.0,112.97690999999998,0.485248,सर्वं जगदिदं त्व॑त्तो जा॒यते।
37,41,P0002_L0019_S0042,115200.0,120000.0,4800.0,112.20174,0.473384,सर्वं जगदिदं त्व॑त्तस्ति॒ष्ठति।
38,42,P0002_L0020_S0043,120000.0,123696.0,3696.0,127.053495,0.504347,सर्वं जगदिदं त्वयि ल॑यमेष्य॒ति।
39,43,P0002_L0020_S0044,123696.0,127760.0,4064.0,111.99006,0.525369,सर्वं जगदिदं त्वयि॑ प्रत्ये॒ति।
40,44,P0002_L0021_S0045,127760.0,132096.0,4336.0,143.2266,0.583834,त्वं भूमिरापोऽनलोऽनि॑लो न॒भः।
41,45,P0002_L0021_S0046,132096.0,135600.0,3504.0,117.44617500000001,0.465488,त्वं चत्वारि वा᳚क्पदा॒नि॥
42,47,P0002_L0022_S0048,135600.0,137696.0,2096.0,77.35743,0.412219,त्वं गु॒णत्र॑याती॒तः।
43,48,P0002_L0022_S0049,137696.0,140000.0,2304.0,95.81604,0.430928,त्वं अवस्थात्र॑याती॒तः।
44,49,P0002_L0022_S0050,140000.0,142000.0,2000.0,73.46549999999999,0.211611,त्वं दे॒हत्र॑याती॒तः।
45,50,P0003_L0001_S0001,142000.0,144016.0,2016.0,82.33811999999999,0.568328,त्वं का॒लत्र॑याती॒तः।
46,51,P0003_L0001_S0002,144016.0,148096.0,4080.0,153.53580000000002,0.570888,त्वं मूलाधारस्थितो॑ऽसि नि॒त्यम्।
47,52,P0003_L0001_S0003,148096.0,152480.0,4384.0,88.14827999999999,0.554955,त्वं शक्तित्र॑यात्म॒कः।
48,53,P0003_L0002_S0004,152480.0,156592.0,4112.0,141.28466999999998,0.565538,त्वां योगिनो ध्याय॑न्ति नि॒त्यम्।
49,54,P0003_L0002_S0005,156592.0,160928.0,4336.0,163.061,0.546763,त्वं ब्रह्मा त्वं विष्णुस्त्वं रुद्रस्त्वमिन्द्रस्त्वमग्निस्त्वं
50,55,P0003_L0003_S0005,160928.0,165200.0,4272.0,277.82685000000004,0.514119,वायुस्त्वं सूर्यस्त्वं चन्द्रमास्त्वं ब्रह्म॒ भूर्भुवः॒ स्वरोम्॥
51,57,P0003_L0004_S0007,165200.0,168400.0,3200.0,196.9743,0.496547,ग॒णादिं᳚ पूर्व॑मुच्चा॒र्य॒ व॒र्णादिं᳚स्तदन॒न्तरम्।
52,58,P0003_L0004_S0008,168400.0,172400.0,4000.0,81.79503,0.411614,अनुस्वारः प॑रत॒रः।
53,59,P0003_L0004_S0009,172400.0,175664.0,3264.0,89.21562,0.538942,अर्धे᳚न्दुल॒सितम्।
54,60,P0003_L0005_S0010,175664.0,179200.0,3536.0,73.69613999999999,0.47597,तारे॑ण ऋ॒द्धम्।
55,61,P0003_L0005_S0011,179200.0,183632.0,4432.0,103.05938999999998,0.570293,एतत्तव मनु॑स्वरू॒पम्।
56,62,P0003_L0005_S0012,183632.0,187216.0,3584.0,87.84254999999999,0.562912,गकारः पू᳚र्वरू॒पम्।
57,63,P0003_L0005_S0013,187216.0,191696.0,4480.0,105.11952,0.634927,अकारो मध्य॑मरू॒पम्।
58,64,P0003_L0006_S0014,191696.0,198400.0,6704.0,122.62265999999998,0.325235,अनुस्वारश्चा᳚न्त्यरू॒पम्।
59,65,P0003_L0006_S0015,198400.0,204736.0,6336.0,92.52485999999998,0.586902,बिन्दुरुत्त॑ररू॒पम्।
60,66,P0003_L0006_S0016,204736.0,210800.0,6064.0,84.62711999999999,0.459725,नादः॑ सन्धा॒नम्।
61,67,P0003_L0006_S0017,210800.0,214000.0,3200.0,82.69374,0.406106,सꣳहि॑ता स॒न्धिः।
62,68,P0003_L0007_S0018,214000.0,217200.0,3200.0,75.37728,0.417113,सैषा गणे॑शवि॒द्या।
63,69,P0003_L0007_S0019,217200.0,219600.0,2400.0,60.976679999999995,0.478062,गण॑क ऋ॒षिः।
64,70,P0003_L0007_S0020,219600.0,222864.0,3264.0,94.12565999999998,0.554493,निचृद्गाय॑त्रीच्छ॒न्दः।
65,71,P0003_L0008_S0021,222864.0,226800.0,3936.0,70.04328,0.427339,गणपति॑र्देव॒ता।
66,72,P0003_L0008_S0022,226800.0,230000.0,3200.0,108.73985625,0.430077,ॐ गं ग॒णप॑तये नमः॥
67,74,P0003_L0009_S0024,230000.0,234144.0,4144.0,172.24971,0.57259,एकद॒न्ताय॑ वि॒द्महे॑ वक्रतु॒ण्डाय॑ धीमहि।
68,75,P0003_L0009_S0025,234144.0,237056.0,2912.0,147.33345000000003,0.527981,तन्नो॑ दन्तिः प्रचो॒दया᳚त्॥
69,77,P0003_L0010_S0027,237056.0,239728.0,2672.0,195.6357,0.547127,एकद॒न्तं च॑तुर्ह॒स्तं॒ पा॒शम॑ङ्कुश॒धारि॑णम्।
70,78,P0003_L0010_S0028,239728.0,242800.0,3072.0,185.46509999999998,0.429394,रदं॑ च॒ वर॑दं ह॒स्तै॒र्बि॒भ्राणं॑ मूष॒कध्व॑जम्।
71,79,P0003_L0011_S0029,242800.0,246000.0,3200.0,177.64919999999998,0.4804,रक्तं ॑ ल॒म्बोद॑रं शू॒र्प॒क॒र्णकं ॑ रक्त॒वास॑सम्।
72,80,P0003_L0011_S0030,246000.0,248080.0,2080.0,200.05584,0.519011,रक्त॑ग॒न्धानु॑लिप्ता॒ङ्गं ॒ र॒क्तपु॑ष्पैः सु॒पूजि॑तम्।
73,81,P0003_L0012_S0031,248080.0,251696.0,3616.0,203.99435999999997,0.547308,भक्ता॑नु॒कम्पि॑नं दे॒वं॒ ज॒गत्का॑रण॒मच्यु॑तम्।
74,82,P0003_L0012_S0032,251696.0,255600.0,3904.0,199.83089999999999,0.417502,आवि॑र्भू॒तं च॑ सृ॒ष्ट्या॒दौ॒ प्र॒कृतेः᳚ पुरु॒षात्प॑रम्।
75,83,P0003_L0013_S0033,255600.0,259200.0,3600.0,239.651353125,0.522173,एवं॑ ध्या॒यति॑ यो नि॒त्यं॒ स॒ योगी॑ योगि॒नां व॑रः॥
76,85,P0003_L0014_S0035,259200.0,261200.0,2000.0,61.98839999999999,0.196454,नमो व्रातपतये।
77,86,P0003_L0014_S0036,261200.0,264800.0,3600.0,60.760799999999996,0.525995,नमो गणपतये।
